feature,importance
aspect_ratio,0.13304945
entropy_norm,0.08338376
bright_fraction,0.06309295
pixel_0030,0.02013158
mean_intensity,0.01894231
pixel_0077,0.01875000
pixel_0046,0.01625000
pixel_0031,0.01500000
pixel_0018,0.01407544
pixel_0238,0.01389881
pixel_0225,0.01328215
std_intensity,0.01299771
pixel_0017,0.01250000
pixel_0206,0.01211538
pixel_0126,0.01125000
pixel_0002,0.01076939
pixel_0140,0.01067089
pixel_0227,0.01050772
pixel_0208,0.01000000
variance_norm,0.00984018
pixel_0240,0.00944537
pixel_0192,0.00889286
pixel_0015,0.00875000
pixel_0048,0.00875000
pixel_0252,0.00875000
pixel_0243,0.00854167
pixel_0158,0.00844643
pixel_0139,0.00838736
pixel_0124,0.00807673
pixel_0094,0.00773810
pixel_0047,0.00750000
pixel_0063,0.00750000
pixel_0242,0.00749865
pixel_0254,0.00747217
pixel_0151,0.00729691
pixel_0125,0.00725000
pixel_0185,0.00714909
pixel_0241,0.00698465
pixel_0239,0.00671875
pixel_0223,0.00642857
