feature,importance
bright_fraction,0.16173511
aspect_ratio,0.11164934
entropy_norm,0.10327915
mean_intensity,0.08270352
pixel_0241,0.05451620
pixel_0017,0.04207717
pixel_0242,0.01948503
std_intensity,0.01910386
pixel_0240,0.01783492
pixel_0000,0.01705809
pixel_0225,0.01568388
pixel_0001,0.01481344
pixel_0224,0.01479649
pixel_0048,0.01462533
variance_norm,0.01428140
pixel_0003,0.01232248
pixel_0054,0.01133809
pixel_0032,0.01013230
pixel_0056,0.00985706
pixel_0069,0.00940034
pixel_0215,0.00866299
pixel_0016,0.00756730
pixel_0206,0.00746033
dark_fraction,0.00717191
pixel_0055,0.00677964
pixel_0151,0.00606945
pixel_0047,0.00571450
pixel_0084,0.00559016
edge_density,0.00535876
pixel_0200,0.00519366
pixel_0002,0.00515625
pixel_0010,0.00506849
pixel_0121,0.00500000
pixel_0068,0.00478616
pixel_0160,0.00463249
pixel_0254,0.00434338
pixel_0053,0.00431299
pixel_0154,0.00431140
pixel_0131,0.00414568
pixel_0122,0.00378957
