mode,image_id,input_path,enc_path,meta_path,encrypt_time_ms,classification_label,classification_score,classification_entropy,classification_edge_density,classification_variance_norm,profile_name,profile_permutation_rounds,profile_arnold_iterations,metadata_threat_level,metadata_key_mode,cipher_size_bytes,cipher_entropy,cipher_adj_corr,decrypt_time_ms,decrypt_ok,exact_match,psnr,mse,wrong_passphrase_decrypt_success,wrong_private_key_decrypt_success,chosen_plaintext_encrypt_time_ms,chosen_plaintext_npcr,chosen_plaintext_uaci,attack_resilience__bit_flip_decrypt_success,attack_resilience__noise_decrypt_success,attack_resilience__partial_ciphertext_loss_center_0_8_decrypt_success,attack_resilience__partial_ciphertext_loss_head_0_9_decrypt_success,attack_resilience__partial_ciphertext_loss_tail_0_9_decrypt_success,attack_resilience__byte_mutation_decrypt_success,attack_resilience__block_shuffle_decrypt_success,attack_resilience__wrong_passphrase_decrypt_success,attack_resilience__wrong_private_key_decrypt_success,attack_resilience__replay_swap_ciphertext_decrypt_success,attack_resilience__replay_swap_metadata_decrypt_success,metadata_tamper_suite__missing_metadata_hmac,metadata_tamper_suite__tamper_threat_level,metadata_tamper_suite__tamper_profile_rounds,metadata_tamper_suite__tamper_nonce_salt_b64,metadata_tamper_suite__add_extra_field,metadata_tamper_suite__tamper_salt_b64,metadata_tamper_suite__tamper_image_sha256_b64,metadata_tamper_suite__tamper_working_shape,metadata_tamper_suite__tamper_dtype,metadata_tamper_suite__tamper_chaos_seed
passphrase_only,0001_image-1,D:\Downloads\hybrid\sample-images\docs\image-1.jpg,D:\Downloads\hybrid\artifacts\passphrase_only\0001_image-1.enc,D:\Downloads\hybrid\artifacts\passphrase_only\0001_image-1.meta.json,782.0082,medium,0.560963,7.677321,0.090275,0.040433,standard,2,3,balanced,passphrase_only,4915216,7.999956,0.00017,923.3149,True,True,inf,0.0,False,False,725.0623,99.609254,33.456276,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
x25519_only,0001_image-1,D:\Downloads\hybrid\sample-images\docs\image-1.jpg,D:\Downloads\hybrid\artifacts\x25519_only\0001_image-1.enc,D:\Downloads\hybrid\artifacts\x25519_only\0001_image-1.meta.json,690.1322,medium,0.560963,7.677321,0.090275,0.040433,standard,2,3,balanced,x25519_only,4915216,7.999966,0.00034,793.9863,True,True,inf,0.0,False,False,690.3216,99.609824,33.450226,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hybrid,0001_image-1,D:\Downloads\hybrid\sample-images\docs\image-1.jpg,D:\Downloads\hybrid\artifacts\hybrid\0001_image-1.enc,D:\Downloads\hybrid\artifacts\hybrid\0001_image-1.meta.json,728.3286,medium,0.560963,7.677321,0.090275,0.040433,standard,2,3,balanced,hybrid_passphrase_x25519,4915216,7.999964,-0.000166,879.2157,True,True,inf,0.0,False,False,700.0359,99.609539,33.486656,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
passphrase_only,0002_image-10,D:\Downloads\hybrid\sample-images\docs\image-10.jpg,D:\Downloads\hybrid\artifacts\passphrase_only\0002_image-10.enc,D:\Downloads\hybrid\artifacts\passphrase_only\0002_image-10.meta.json,774.3823,medium,0.449453,6.373477,0.033509,0.008161,standard,2,3,balanced,passphrase_only,4915216,7.999966,-0.000268,849.111,True,True,inf,0.0,False,False,678.6129,99.61078,33.481785,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
x25519_only,0002_image-10,D:\Downloads\hybrid\sample-images\docs\image-10.jpg,D:\Downloads\hybrid\artifacts\x25519_only\0002_image-10.enc,D:\Downloads\hybrid\artifacts\x25519_only\0002_image-10.meta.json,667.1476,medium,0.449453,6.373477,0.033509,0.008161,standard,2,3,balanced,x25519_only,4915216,7.999961,-0.000545,794.9224,True,True,inf,0.0,False,False,706.8383,99.611167,33.454231,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hybrid,0002_image-10,D:\Downloads\hybrid\sample-images\docs\image-10.jpg,D:\Downloads\hybrid\artifacts\hybrid\0002_image-10.enc,D:\Downloads\hybrid\artifacts\hybrid\0002_image-10.meta.json,734.0046,medium,0.449453,6.373477,0.033509,0.008161,standard,2,3,balanced,hybrid_passphrase_x25519,4915216,7.999953,0.00021,936.8794,True,True,inf,0.0,False,False,720.4761,99.612957,33.463623,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
passphrase_only,0003_image-100,D:\Downloads\hybrid\sample-images\docs\image-100.jpg,D:\Downloads\hybrid\artifacts\passphrase_only\0003_image-100.enc,D:\Downloads\hybrid\artifacts\passphrase_only\0003_image-100.meta.json,723.7714,medium,0.560122,7.200657,0.202596,0.028654,standard,2,3,balanced,passphrase_only,4915216,7.999958,-0.000217,850.2179,True,True,inf,0.0,False,False,722.6867,99.612204,33.460384,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
x25519_only,0003_image-100,D:\Downloads\hybrid\sample-images\docs\image-100.jpg,D:\Downloads\hybrid\artifacts\x25519_only\0003_image-100.enc,D:\Downloads\hybrid\artifacts\x25519_only\0003_image-100.meta.json,671.9542,medium,0.560122,7.200657,0.202596,0.028654,standard,2,3,balanced,x25519_only,4915216,7.999968,0.000239,825.1898,True,True,inf,0.0,False,False,648.3714,99.602337,33.444168,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hybrid,0003_image-100,D:\Downloads\hybrid\sample-images\docs\image-100.jpg,D:\Downloads\hybrid\artifacts\hybrid\0003_image-100.enc,D:\Downloads\hybrid\artifacts\hybrid\0003_image-100.meta.json,778.1696,medium,0.560122,7.200657,0.202596,0.028654,standard,2,3,balanced,hybrid_passphrase_x25519,4915216,7.999966,-0.000162,852.8824,True,True,inf,0.0,False,False,717.2057,99.608847,33.452953,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
passphrase_only,0004_image-1000,D:\Downloads\hybrid\sample-images\docs\image-1000.jpg,D:\Downloads\hybrid\artifacts\passphrase_only\0004_image-1000.enc,D:\Downloads\hybrid\artifacts\passphrase_only\0004_image-1000.meta.json,754.4545,medium,0.481631,6.33021,0.125539,0.058451,standard,2,3,balanced,passphrase_only,4915216,7.999963,-0.000955,875.7503,True,True,inf,0.0,False,False,720.2487,99.607952,33.47847,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
x25519_only,0004_image-1000,D:\Downloads\hybrid\sample-images\docs\image-1000.jpg,D:\Downloads\hybrid\artifacts\x25519_only\0004_image-1000.enc,D:\Downloads\hybrid\artifacts\x25519_only\0004_image-1000.meta.json,702.1177,medium,0.481631,6.33021,0.125539,0.058451,standard,2,3,balanced,x25519_only,4915216,7.99996,0.000466,824.8536,True,True,inf,0.0,False,False,661.5737,99.607443,33.454803,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hybrid,0004_image-1000,D:\Downloads\hybrid\sample-images\docs\image-1000.jpg,D:\Downloads\hybrid\artifacts\hybrid\0004_image-1000.enc,D:\Downloads\hybrid\artifacts\hybrid\0004_image-1000.meta.json,796.2253,medium,0.481631,6.33021,0.125539,0.058451,standard,2,3,balanced,hybrid_passphrase_x25519,4915216,7.999963,-0.000372,897.9174,True,True,inf,0.0,False,False,738.0656,99.611187,33.462288,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
passphrase_only,0005_image-1001,D:\Downloads\hybrid\sample-images\docs\image-1001.jpg,D:\Downloads\hybrid\artifacts\passphrase_only\0005_image-1001.enc,D:\Downloads\hybrid\artifacts\passphrase_only\0005_image-1001.meta.json,740.6058,medium,0.579743,7.746072,0.134892,0.044885,standard,2,3,balanced,passphrase_only,4915216,7.999957,0.000134,861.387,True,True,inf,0.0,False,False,721.2678,99.612652,33.470303,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
x25519_only,0005_image-1001,D:\Downloads\hybrid\sample-images\docs\image-1001.jpg,D:\Downloads\hybrid\artifacts\x25519_only\0005_image-1001.enc,D:\Downloads\hybrid\artifacts\x25519_only\0005_image-1001.meta.json,666.5511,medium,0.579743,7.746072,0.134892,0.044885,standard,2,3,balanced,x25519_only,4915216,7.99996,-0.0001,808.1963,True,True,inf,0.0,False,False,658.7755,99.615073,33.467136,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hybrid,0005_image-1001,D:\Downloads\hybrid\sample-images\docs\image-1001.jpg,D:\Downloads\hybrid\artifacts\hybrid\0005_image-1001.enc,D:\Downloads\hybrid\artifacts\hybrid\0005_image-1001.meta.json,740.8276,medium,0.579743,7.746072,0.134892,0.044885,standard,2,3,balanced,hybrid_passphrase_x25519,4915216,7.999969,0.000152,872.0178,True,True,inf,0.0,False,False,720.5794,99.608746,33.464939,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
passphrase_only,0006_image-1002,D:\Downloads\hybrid\sample-images\docs\image-1002.jpg,D:\Downloads\hybrid\artifacts\passphrase_only\0006_image-1002.enc,D:\Downloads\hybrid\artifacts\passphrase_only\0006_image-1002.meta.json,763.0687,medium,0.500358,6.917645,0.062451,0.040235,standard,2,3,balanced,passphrase_only,4915216,7.999959,-0.000161,850.4799,True,True,inf,0.0,False,False,744.2033,99.613445,33.475189,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
x25519_only,0006_image-1002,D:\Downloads\hybrid\sample-images\docs\image-1002.jpg,D:\Downloads\hybrid\artifacts\x25519_only\0006_image-1002.enc,D:\Downloads\hybrid\artifacts\x25519_only\0006_image-1002.meta.json,687.5684,medium,0.500358,6.917645,0.062451,0.040235,standard,2,3,balanced,x25519_only,4915216,7.999962,-0.00098,812.8901,True,True,inf,0.0,False,False,678.732,99.609824,33.454124,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hybrid,0006_image-1002,D:\Downloads\hybrid\sample-images\docs\image-1002.jpg,D:\Downloads\hybrid\artifacts\hybrid\0006_image-1002.enc,D:\Downloads\hybrid\artifacts\hybrid\0006_image-1002.meta.json,753.0277,medium,0.500358,6.917645,0.062451,0.040235,standard,2,3,balanced,hybrid_passphrase_x25519,4915216,7.999966,0.000211,861.9915,True,True,inf,0.0,False,False,759.2091,99.608725,33.490173,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
passphrase_only,0007_image-1003,D:\Downloads\hybrid\sample-images\docs\image-1003.jpg,D:\Downloads\hybrid\artifacts\passphrase_only\0007_image-1003.enc,D:\Downloads\hybrid\artifacts\passphrase_only\0007_image-1003.meta.json,725.3686,medium,0.580481,7.708971,0.108778,0.119041,standard,2,3,balanced,passphrase_only,4915216,7.999967,-0.001025,847.7812,True,True,inf,0.0,False,False,713.1537,99.60785,33.473305,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
x25519_only,0007_image-1003,D:\Downloads\hybrid\sample-images\docs\image-1003.jpg,D:\Downloads\hybrid\artifacts\x25519_only\0007_image-1003.enc,D:\Downloads\hybrid\artifacts\x25519_only\0007_image-1003.meta.json,724.256,medium,0.580481,7.708971,0.108778,0.119041,standard,2,3,balanced,x25519_only,4915216,7.999965,0.000131,821.4744,True,True,inf,0.0,False,False,701.3758,99.608257,33.461632,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hybrid,0007_image-1003,D:\Downloads\hybrid\sample-images\docs\image-1003.jpg,D:\Downloads\hybrid\artifacts\hybrid\0007_image-1003.enc,D:\Downloads\hybrid\artifacts\hybrid\0007_image-1003.meta.json,745.0081,medium,0.580481,7.708971,0.108778,0.119041,standard,2,3,balanced,hybrid_passphrase_x25519,4915216,7.999963,0.000235,836.498,True,True,inf,0.0,False,False,705.0158,99.611289,33.47554,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
passphrase_only,0008_image-1004,D:\Downloads\hybrid\sample-images\docs\image-1004.jpg,D:\Downloads\hybrid\artifacts\passphrase_only\0008_image-1004.enc,D:\Downloads\hybrid\artifacts\passphrase_only\0008_image-1004.meta.json,225.8613,low,0.325526,4.444324,0.053631,0.025927,lite,1,0,balanced,passphrase_only,3932176,7.999958,0.000358,266.6762,True,True,inf,0.0,False,False,238.0533,99.610089,33.471756,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
x25519_only,0008_image-1004,D:\Downloads\hybrid\sample-images\docs\image-1004.jpg,D:\Downloads\hybrid\artifacts\x25519_only\0008_image-1004.enc,D:\Downloads\hybrid\artifacts\x25519_only\0008_image-1004.meta.json,181.2113,low,0.325526,4.444324,0.053631,0.025927,lite,1,0,balanced,x25519_only,3932176,7.999955,6.1e-05,209.5551,True,True,inf,0.0,False,False,175.5412,99.611411,33.483963,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hybrid,0008_image-1004,D:\Downloads\hybrid\sample-images\docs\image-1004.jpg,D:\Downloads\hybrid\artifacts\hybrid\0008_image-1004.enc,D:\Downloads\hybrid\artifacts\hybrid\0008_image-1004.meta.json,227.1072,low,0.325526,4.444324,0.053631,0.025927,lite,1,0,balanced,hybrid_passphrase_x25519,3932176,7.999956,0.001086,274.6692,True,True,inf,0.0,False,False,236.527,99.607902,33.447994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
passphrase_only,0009_image-1005,D:\Downloads\hybrid\sample-images\docs\image-1005.jpg,D:\Downloads\hybrid\artifacts\passphrase_only\0009_image-1005.enc,D:\Downloads\hybrid\artifacts\passphrase_only\0009_image-1005.meta.json,737.6634,medium,0.462429,6.694942,0.000163,0.014018,standard,2,3,balanced,passphrase_only,4915216,7.999971,0.000172,860.0389,True,True,inf,0.0,False,False,720.1996,99.611167,33.466766,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
