image_id,input_name,classification_label,classification_score,profile_name,profile_permutation_rounds,profile_arnold_iterations
0001_image-1,image-1.jpg,medium,0.560963,standard,2,3
0002_image-10,image-10.jpg,medium,0.449453,standard,2,3
0003_image-100,image-100.jpg,medium,0.560122,standard,2,3
0004_image-1000,image-1000.jpg,medium,0.481631,standard,2,3
0005_image-1001,image-1001.jpg,medium,0.579743,standard,2,3
0006_image-1002,image-1002.jpg,medium,0.500358,standard,2,3
0007_image-1003,image-1003.jpg,medium,0.580481,standard,2,3
0008_image-1004,image-1004.jpg,low,0.325526,lite,1,0
0009_image-1005,image-1005.jpg,medium,0.462429,standard,2,3
0010_image-1006,image-1006.jpg,medium,0.581421,standard,2,3
0011_image-1007,image-1007.jpg,medium,0.521988,standard,2,3
0012_image-1008,image-1008.jpg,medium,0.529836,standard,2,3
0013_image-1009,image-1009.jpg,medium,0.577218,standard,2,3
0014_image-101,image-101.jpg,medium,0.509953,standard,2,3
0015_image-1010,image-1010.jpg,medium,0.416346,standard,2,3
0016_image-1011,image-1011.jpg,medium,0.559349,standard,2,3
0017_image-1012,image-1012.jpg,medium,0.497547,standard,2,3
0018_image-1013,image-1013.jpg,medium,0.5533,standard,2,3
0019_image-1014,image-1014.jpg,medium,0.515544,standard,2,3
0020_image-1015,image-1015.jpg,medium,0.3654,standard,2,3
0021_image-1016,image-1016.jpg,medium,0.479604,standard,2,3
0022_image-1017,image-1017.jpg,medium,0.574372,standard,2,3
0023_image-1018,image-1018.jpg,medium,0.530241,standard,2,3
0024_image-1019,image-1019.jpg,medium,0.591031,standard,2,3
0025_image-102,image-102.jpg,medium,0.566166,standard,2,3
0026_image-1020,image-1020.jpg,medium,0.593089,standard,2,3
0027_image-1021,image-1021.jpg,medium,0.501827,standard,2,3
0028_image-1022,image-1022.jpg,medium,0.447948,standard,2,3
0029_image-1023,image-1023.jpg,medium,0.422234,standard,2,3
0030_image-1024,image-1024.jpg,medium,0.359401,standard,2,3
0031_image-1025,image-1025.jpg,low,0.338138,lite,1,0
0032_image-1026,image-1026.jpg,medium,0.495588,standard,2,3
0033_image-1027,image-1027.jpg,medium,0.525073,standard,2,3
0034_image-1028,image-1028.jpg,medium,0.359392,standard,2,3
0035_image-1029,image-1029.jpg,medium,0.444128,standard,2,3
0036_image-103,image-103.jpg,medium,0.544162,standard,2,3
0037_image-1030,image-1030.jpg,medium,0.563978,standard,2,3
0038_image-1031,image-1031.jpg,medium,0.350592,standard,2,3
0039_image-1032,image-1032.jpg,low,0.312322,lite,1,0
0040_image-1033,image-1033.jpg,medium,0.539558,standard,2,3
0041_image-1034,image-1034.jpg,medium,0.476089,standard,2,3
0042_image-1035,image-1035.jpg,medium,0.394485,standard,2,3
0043_image-1036,image-1036.jpg,medium,0.482836,standard,2,3
0044_image-1037,image-1037.jpg,medium,0.568053,standard,2,3
0045_image-1038,image-1038.jpg,medium,0.542835,standard,2,3
0046_image-1039,image-1039.jpg,medium,0.449414,standard,2,3
0047_image-104,image-104.jpg,medium,0.578541,standard,2,3
0048_image-1040,image-1040.jpg,medium,0.442049,standard,2,3
0049_image-1041,image-1041.jpg,low,0.291052,lite,1,0
0050_image-1042,image-1042.jpg,medium,0.49278,standard,2,3
0051_image-1043,image-1043.jpg,medium,0.378972,standard,2,3
0052_image-1044,image-1044.jpg,medium,0.532196,standard,2,3
0053_image-1045,image-1045.jpg,medium,0.419529,standard,2,3
0054_image-1046,image-1046.jpg,medium,0.492432,standard,2,3
0055_image-1047,image-1047.jpg,medium,0.436397,standard,2,3
0056_image-1048,image-1048.jpg,medium,0.552326,standard,2,3
0057_image-1049,image-1049.jpg,medium,0.443172,standard,2,3
0058_image-105,image-105.jpg,medium,0.518991,standard,2,3
0059_image-1050,image-1050.jpg,medium,0.569277,standard,2,3
0060_image-1051,image-1051.jpg,medium,0.558839,standard,2,3
0061_image-1052,image-1052.jpg,medium,0.354191,standard,2,3
0062_image-1053,image-1053.jpg,medium,0.566496,standard,2,3
0063_image-1054,image-1054.jpg,medium,0.516782,standard,2,3
0064_image-1055,image-1055.jpg,medium,0.496276,standard,2,3
0065_image-1056,image-1056.jpg,low,0.260435,lite,1,0
0066_image-1057,image-1057.jpg,medium,0.384755,standard,2,3
0067_image-1058,image-1058.jpg,medium,0.53472,standard,2,3
0068_image-1059,image-1059.jpg,medium,0.443435,standard,2,3
0069_image-106,image-106.jpg,medium,0.55023,standard,2,3
0070_image-1060,image-1060.jpg,medium,0.419398,standard,2,3
